id,name,rank,retirement_date,medical_condition
24-70012345,Kim Minjun,SGT,2026-11-24,
24-70023456,Lee Junho,SGT,2026-09-15,
24-70034567,Park Jihoon,SGT,2027-01-19,
24-70045678,Choi Hyunwoo,SGT,2027-03-02,
24-70056789,Jung Woojin,SGT,2027-04-14,knee injury
24-70067890,Kang Donghyun,CPL,2027-05-26,
24-70078901,Yoon Seongmin,CPL,2027-06-08,
25-70089012,Han Jiwon,CPL,2027-07-20,
25-70090123,Cho Minseok,CPL,2027-09-01,
25-70101234,Lim Taeyang,CPL,2027-10-13,
25-70112345,Shin Jaehyun,CPL,2027-11-25,
25-70123456,Oh Sangwoo,CPL,2027-12-07,
25-70134567,Seo Junseo,CPL,2028-01-18,back pain
25-70145678,Kwon Youngjae,CPL,2028-02-29,
25-70156789,Hwang Minjae,CPL,2028-03-11,
25-70167890,Song Hyunsik,CPL,2028-04-23,
25-70178901,Ahn Doyoon,PFC,2028-05-05,
25-70189012,Bae Seojun,PFC,2028-06-17,
25-70190123,Nam Gunwoo,PFC,2028-07-29,
25-70201234,Moon Jiho,PFC,2028-08-10,
25-70212345,Ryu Sungjin,PFC,2028-09-22,
25-70223456,Hong Yeonwoo,PFC,2028-10-04,
26-70234567,Jang Woohyun,PFC,2028-11-16,sprained ankle
26-70245678,Yang Doyun,PFC,2028-12-28,
26-70256789,Baek Siwoo,PFC,2029-01-09,
26-70267890,Koo Hajun,PFC,2029-02-21,
26-70278901,Sim Jaeyoon,PFC,2029-03-05,
26-70289012,Chung Eunwoo,PFC,2029-04-17,
26-70290123,Woo Jinseo,PVT,2029-05-29,
26-70301234,Min Sanghyuk,PVT,2029-06-10,
26-70312345,Do Hyunbin,PVT,2029-07-22,
26-70323456,Pyo Minsung,PVT,2029-08-03,
